wav,throughput,
626.074,52.1422,
627.057,54.3518,
628.062,56.6463,
629.022,59.3660,
630.005,61.8022,
631.010,64.5785,
631.993,67.0431,
632.975,69.5644,
633.958,72.0856,
634.941,74.3235,
636.124,76.0796,
637.084,77.8074,
638.088,79.3652,
639.048,80.5547,
640.053,81.8291,
641.012,82.8486,
641.994,83.6130,
642.932,84.4907,
643.891,85.0284,
645.096,85.5660,
646.100,86.0187,
647.082,86.5280,
648.064,86.8390,
649.045,87.0934,
650.005,87.0927,
651.009,87.3470,
651.990,87.0913,
652.972,87.0056,
654.132,87.0614,
655.158,86.7490,
656.139,86.4933,
657.099,86.0392,
658.080,85.7835,
659.061,85.2727,
660.043,84.7903,
661.002,83.9962,
661.938,83.2871,
663.143,82.8045,
664.124,81.8121,
665.128,80.7912,
666.109,79.8271,
667.090,78.5229,
668.071,77.2754,
669.029,75.7729,
670.033,74.2703,
671.036,72.5694,
672.150,70.8118,
