wave,att
275.775,228.576
280.028,211.349
285.494,189.964
291.551,172.737
298.810,155.511
307.277,136.354
316.338,120.018
330.218,100.268
345.903,79.7754
357.961,67.0050
365.194,60.3229
376.642,50.8198
388.688,42.8018
402.533,36.7149
415.772,32.1130
436.228,27.0667
459.690,22.3179
490.366,17.5702
518.033,14.1586
552.916,10.7483
585.389,8.82263
619.664,7.49136
657.546,6.90322
676.188,5.86653
709.860,5.12922
751.349,4.69016
796.445,4.25166
845.750,3.81383
898.060,3.67349
939.548,3.53146
948.562,5.31505
966.003,3.68411
981.638,2.79547
1014.11,2.50351
1058.60,2.21344
1107.91,2.07263
1148.79,2.22754
1195.09,2.53180
1223.95,3.27889
1213.88,2.79464
1235.52,4.80298
1244.98,7.47773
1251.29,8.48119
1262.12,6.92348
1273.85,5.92283
1293.69,5.14623
1311.28,4.92621
1327.51,6.93370
1340.12,10.0545
1354.09,14.1780
1364.01,17.6325
1371.19,27.6584
1375.22,38.7976
1380.11,66.5336
1384.13,84.9129
1386.81,93.1559
1390.85,100.063
1396.27,97.1673
1398.99,90.9301
1403.08,80.9060
1406.25,72.3298
1409.88,64.3105
1414.87,53.7296
1421.21,44.2627
1427.99,36.0212
1437.03,28.0028
1448.32,22.1011
1468.63,15.5325
1488.48,12.3054
1520.06,9.19153
1556.59,6.41258
1590.87,4.74714
1622.89,3.86106
1652.65,3.97710
1683.31,5.76407
1714.87,7.77396
1730.65,10.1155
1744.62,14.0162
1757.69,16.3574
1774.82,18.0309
1786.53,21.7084
1800.50,28.0596
1808.61,28.0609
1818.99,27.0601
1828.91,27.8413
