wave,reflec
349.730,2.14256
352.997,1.90353
356.270,1.65426
359.520,1.44427
362.221,1.28378
363.851,1.16939
367.073,1.01062
369.235,0.879155
374.582,0.652095
378.846,0.495035
384.154,0.336273
389.445,0.208246
393.134,0.145092
396.817,0.0921835
402.057,0.0529439
405.720,0.0350378
409.636,0.0299393
412.763,0.0367883
419.270,0.0650011
424.461,0.111134
430.167,0.170930
438.707,0.293066
445.951,0.401534
459.388,0.628708
469.470,0.792686
478.000,0.932750
484.986,1.03609
492.752,1.14371
501.042,1.24706
509.079,1.33505
516.606,1.40510
526.736,1.48370
535.317,1.53498
544.948,1.57431
553.544,1.59741
562.149,1.60686
569.976,1.60605
578.331,1.59500
585.907,1.57883
594.793,1.55156
603.421,1.51917
612.052,1.48166
620.686,1.43903
627.754,1.39809
636.130,1.35033
645.818,1.28893
653.937,1.23519
663.364,1.17463
674.888,1.09616
690.343,0.988683
704.749,0.889739
718.109,0.795056
731.988,0.703791
751.626,0.580974
770.208,0.478639
791.139,0.375466
809.448,0.295327
831.931,0.215213
852.576,0.156431
876.609,0.103647
890.188,0.0823862
905.591,0.0645518
920.729,0.0543993
937.430,0.0493788
959.603,0.0554901
980.728,0.0701323
998.198,0.089020
1028.18,0.131890
1058.41,0.190128
1083.16,0.245772
1104.53,0.299687
1126.93,0.358731
1161.83,0.461392
1191.52,0.552922
1224.34,0.658131
1269.13,0.805246
1313.66,0.954920
1360.01,1.11485
1390.99,1.22090
1421.20,1.32012
1450.37,1.41421
1471.20,1.48007
1502.20,1.57588
1537.88,1.68537
1583.20,1.81883
1624.35,1.93604
1657.96,2.03016
1695.99,2.13028
1734.55,2.23040
1768.68,2.31427
1799.42,2.38788
